date,zone,crop_type,soil_moisture_%,temperature_C,humidity_%,rainfall_mm,irrigation_applied_mm,growth_stage,month,quarter,season,ET0,water_supply,WSI,IES,drought_risk_score
2021-01-01,Zone_B,Sugarcane,50.99,16.9,32.6,3.57,20.8,Harvesting,1,1,Winter,26.98,14.98,4.45,100.0,6.15
2021-01-02,Zone_D,Wheat,39.14,19.7,33.1,3.48,20.31,Vegetative,1,1,Winter,31.2,14.62,5.31,100.0,7.52
2021-01-03,Zone_C,Sugarcane,52.74,19.1,52.8,7.44,11.44,Sowing,1,1,Winter,31.29,12.07,6.14,100.0,6.85
2021-01-04,Zone_C,Cotton,44.44,11.8,47.0,3.5,23.84,Harvesting,1,1,Winter,20.05,16.75,1.65,100.0,5.27
2021-01-05,Zone_A,Cotton,36.57,11.8,57.7,3.63,18.53,Sowing,1,1,Winter,20.59,13.66,3.37,100.0,6.76
2021-01-06,Zone_A,Rice,63.46,13.2,62.1,6.56,15.46,Harvesting,1,1,Winter,22.9,13.87,3.94,100.0,4.89
2021-01-07,Zone_C,Sugarcane,54.24,14.3,43.6,4.7,21.35,Harvesting,1,1,Winter,23.63,16.1,3.19,100.0,5.26
2021-01-08,Zone_B,Wheat,61.31,14.9,50.9,6.66,13.86,Vegetative,1,1,Winter,24.9,12.98,4.79,100.0,5.49
2021-01-09,Zone_C,Wheat,55.28,18.2,47.5,2.39,20.4,Flowering,1,1,Winter,29.67,13.91,5.31,100.0,6.23
2021-01-10,Zone_D,Cotton,45.71,10.7,64.4,4.93,10.6,Flowering,1,1,Winter,19.27,9.81,4.91,100.0,6.8
2021-01-11,Zone_A,Sugarcane,50.38,10.4,59.1,2.2,22.59,Vegetative,1,1,Winter,18.56,15.09,1.87,100.0,4.9
2021-01-12,Zone_A,Wheat,55.27,14.7,61.9,2.38,16.72,Harvesting,1,1,Winter,25.14,11.7,5.35,100.0,6.25
2021-01-13,Zone_C,Sugarcane,63.81,18.4,38.9,7.44,19.55,Flowering,1,1,Winter,29.54,16.94,4.27,100.0,5.03
2021-01-14,Zone_B,Sugarcane,42.61,12.3,57.0,2.84,13.32,Flowering,1,1,Winter,21.3,9.98,5.31,100.0,7.25
2021-01-15,Zone_B,Rice,61.25,17.7,39.3,5.19,20.16,Flowering,1,1,Winter,28.51,15.73,4.48,100.0,5.34
2021-01-16,Zone_D,Wheat,62.72,13.1,37.3,4.47,21.58,Vegetative,1,1,Winter,21.51,16.08,2.52,100.0,4.24
